date,close,volume
2021-02-08 15:43:16,7.0000,6500
2021-02-11 15:43:02,6.8000,1000
2021-02-16 15:44:07,6.9000,500
2021-02-18 15:44:00,7.0000,1000
2021-02-24 15:41:36,7.0000,500
2021-02-26 16:39:01,7.0000,500
2021-03-01 15:40:16,6.5000,122500
2021-03-02 15:41:50,6.7000,2000
2021-03-04 15:46:04,6.0100,1000
2021-03-05 16:43:26,6.7000,500
2021-03-16 15:41:25,7.0000,500
2021-04-01 15:40:57,6.3000,500
2021-04-02 16:38:34,7.1500,1000
2021-04-09 16:40:23,7.1900,1500
2021-04-22 14:10:04,6.9000,1000
2021-04-26 14:09:05,7.2000,5000
2021-04-27 14:10:35,7.2000,500
2021-05-06 12:39:47,7.2000,1500
2021-05-17 16:03:01,7.8500,4500
2021-05-18 15:41:12,7.0800,1500
2021-05-21 16:40:41,7.1500,500
2021-06-04 16:42:51,7.7500,1500
2021-06-10 15:45:21,7.2000,1000
2021-06-14 15:47:33,7.0500,16500
2021-06-16 15:47:35,7.0500,3000
2021-06-17 15:46:09,7.2000,5500
2021-06-18 16:42:16,7.2000,500
2021-06-23 15:44:37,7.0000,1500
2021-06-24 15:44:52,7.0000,39000
2021-06-25 16:40:15,7.0000,500
2021-06-30 15:44:36,7.0000,9000
2021-07-01 15:45:24,7.3500,2000
2021-07-02 16:41:50,7.2500,1000
2021-07-05 15:43:59,7.2500,1000
2021-07-06 15:42:28,7.2500,500
2021-07-07 15:42:39,7.3500,1000
2021-07-08 15:43:10,7.0000,3500
2021-07-09 16:40:40,7.2500,500
2021-07-12 15:42:15,7.4900,2500
2021-07-14 15:42:29,7.1000,500
2021-07-15 15:43:01,7.2000,3500
2021-07-16 16:40:24,7.5000,1000
2021-07-19 15:43:32,7.1500,1000
2021-07-26 15:41:53,7.7400,2000
2021-07-28 15:40:55,7.5000,9500
2021-07-29 15:39:52,7.5000,2000
2021-07-30 16:38:28,7.3000,2500
2021-08-02 15:40:14,7.4000,4500
2021-08-03 16:02:18,7.4600,12000
2021-08-04 15:43:19,7.6700,24000
2021-08-05 15:47:21,7.5100,3500
2021-08-06 16:45:10,7.5200,13000
2021-08-09 15:41:45,7.5000,9000
2021-08-11 15:42:26,7.2900,23000
2021-08-13 17:04:44,7.0100,1000
2021-08-17 15:39:32,7.0100,500
2021-08-23 15:42:33,7.1500,3000
2021-08-24 15:42:02,7.5500,22000
2021-08-26 15:40:56,7.4000,5500
2021-08-27 16:37:33,7.0300,1000
2021-09-01 15:42:44,7.4000,500
2021-09-03 16:38:55,7.2000,500
2021-09-07 15:40:13,7.1500,2000
2021-09-08 15:40:27,7.8900,2500
2021-09-10 16:39:03,7.5100,2000
2021-09-13 15:41:44,7.5500,1500
2021-09-14 15:40:56,7.4000,5000
2021-09-15 15:40:00,7.4000,500
2021-09-17 16:38:11,8.0200,2000
2021-09-20 15:39:53,8.0000,2500
2021-09-21 15:38:23,7.2000,500
2021-09-22 15:37:54,7.4000,2000
2021-09-23 15:38:58,7.4500,2000
2021-09-24 17:01:10,7.8500,21000
