symbol,sector,name,first_date,last_date,data_points,last_close,total_return,cagr,annualized_volatility,max_drawdown,sharpe_ratio,beta,correlation,volume_trend,52w_high,52w_low,pct_from_52w_high,return_1m,return_3m,return_6m,return_1y,return_ytd,real_cagr,avg_daily_volume,last_volume,pe_ratio,pb_ratio,dividend_yield,eps,market_cap,face_value,shares_outstanding
786,INV. BANKS / INV. COS. / SECURITIES COS.,786 Investments Limited,2021-05-18,2026-05-15,1044,27.680000,2.508238,0.285915,0.712499,-0.664996,0.246898,0.390407,0.120541,1.809669,62.470000,8.110000,-0.556907,-0.231111,0.874069,1.104943,2.517154,1.111365,0.180604,84978.571839,28112,-1.400000,,,-76.190000,,,
AABS,SUGAR & ALLIED INDUSTRIES,Al-Abbas Sugar Mills Limited,2021-05-18,2026-05-15,1048,910.210000,1.580692,0.209189,0.407360,-0.357925,0.243491,0.430321,0.225233,0.611747,1124.520000,781.860000,-0.190579,0.005102,-0.088696,-0.131123,0.174465,-0.133059,0.103878,2907.638359,41,0.020000,,,154.490000,,,
AAL,TEXTILE SPINNING,Agro Allianz Limited,2021-10-25,2024-09-26,21,16.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,,16.000000,16.000000,0.000000,,,,,0.000000,-0.105311,0.000000,0,0.540000,,,-114.210000,,,
AASM,SYNTHETIC & RAYON,Al-Abid Silk Mills Limited,2021-10-25,2024-09-26,21,3.490000,0.000000,0.000000,0.000000,0.000000,,0.000000,,,3.490000,3.490000,0.000000,,,,,0.000000,-0.105311,0.000000,0,0.000000,,,-75.710000,,,
AATM,TEXTILE SPINNING,Ali Asghar Textile Mills Limited,2021-10-25,2026-05-15,490,54.510000,25.461165,1.054188,0.909335,-0.703228,1.038328,0.584270,0.269359,2.033054,109.040000,32.360000,-0.500092,0.117237,0.349591,0.289567,0.319216,0.313494,0.948877,17974.448980,11227,-0.040000,,,-68.780000,,,
ABL,COMMERCIAL BANKS,Allied Bank Limited,2021-05-18,2026-05-15,1201,178.990000,1.594058,0.210441,0.279873,-0.327354,0.358880,0.552479,0.394569,0.574688,209.570000,127.390000,-0.145918,-0.013992,-0.074796,0.043795,0.399015,-0.034418,0.105130,110192.732723,44424,0.150000,,,22.420000,,,
ABOT,PHARMACEUTICALS,Abbott Laboratories (Pakistan) Limited,2021-05-18,2026-05-15,1224,874.120000,0.127897,0.024420,0.316083,-0.580289,-0.270750,0.804623,0.501450,1.590069,1299.460000,836.920000,-0.327321,-0.100033,-0.260161,-0.196957,-0.085811,-0.203572,-0.080890,27219.369281,7154,-0.300000,,,-49.650000,,,
ABSON,"PAPER, BOARD & PACKAGING",Abson Industries Limited,2021-10-25,2024-09-26,21,2.500000,0.000000,0.000000,0.000000,0.000000,,0.000000,,,2.500000,2.500000,0.000000,,,,,0.000000,-0.105311,0.000000,0,,,,,,,
ACPL,CEMENT,Attock Cement Pakistan Limited,2021-05-18,2026-05-15,1239,226.290000,0.415197,0.072055,0.386902,-0.712434,-0.098073,0.923822,0.466307,1.075814,315.100000,210.060000,-0.281847,-0.108849,-0.194497,-0.219555,-0.269891,-0.199002,-0.033255,161154.770783,8500,6.570000,,,1.240000,,,
ADAMS,SUGAR & ALLIED INDUSTRIES,Adam Sugar Mills Limited,2021-05-18,2026-05-15,1025,73.940000,2.133051,0.257259,0.480173,-0.460347,0.306679,0.345513,0.157716,0.890142,87.080000,57.640000,-0.150896,-0.092538,-0.074941,0.045532,0.411069,-0.108620,0.151949,14618.709268,374,-0.140000,,,-19.080000,,,
ADMM,TEXTILE COMPOSITE,Artistic Denim Mills Limited,2021-05-18,2026-05-15,1161,74.020000,-0.174160,-0.037614,0.429656,-0.695900,-0.343562,0.594922,0.283637,2.592663,111.550000,42.010000,-0.336441,0.210070,0.265299,0.525242,0.763221,0.359912,-0.142924,83269.873385,1188704,0.080000,,,85.040000,,,
ADOS,ENGINEERING,Ados Pakistan Limited,2021-05-18,2023-01-02,315,29.000000,1.037948,0.549254,0.589712,-0.434799,0.744862,0.808688,0.247189,0.271458,35.000000,15.040000,-0.171429,0.000000,0.160000,0.148515,0.372456,,0.443943,26028.273016,1,-0.080000,,,25.410000,,,
AEL,,AEL Textile Limited,2021-05-18,2024-01-05,266,33.680000,1.405714,0.395564,0.885168,-0.615385,0.322610,0.159122,0.039839,1.729944,33.680000,10.500000,0.000000,0.530909,0.946821,1.621012,1.275676,0.089968,0.290254,12466.165414,159000,0.020000,,,-64.800000,,,
AGHA,ENGINEERING,Agha Steel Ind.Ltd,2021-05-18,2026-05-15,1241,8.260000,-0.716929,-0.223425,0.438761,-0.832453,-0.759924,1.258143,0.559778,1.225261,10.600000,6.030000,-0.220755,0.186782,-0.019002,0.018496,-0.009592,-0.046189,-0.328735,2490867.365028,10761634,-0.340000,,,-15.190000,,,
AGIC,INSURANCE,Askari General Insurance Company Limited,2021-05-18,2026-05-15,1096,36.840000,0.814778,0.126826,0.417180,-0.393939,0.040334,0.522637,0.263440,1.145640,50.530000,30.080000,-0.270928,-0.046337,-0.026941,-0.034844,0.185710,-0.030526,0.021516,18206.749088,18967,-0.600000,,,-5.490000,,,
AGIL,AUTOMOBILE PARTS & ACCESSORIES,Agriauto Industries Limited,2021-05-18,2026-05-15,1089,166.960000,-0.274087,-0.062163,0.468953,-0.812609,-0.367123,0.903812,0.407286,1.005757,190.810000,106.000000,-0.124993,-0.037695,0.010531,0.159928,0.610495,-0.016088,-0.167474,31791.642792,1275,-0.250000,,,-62.690000,,,
AGL,FERTILIZER,Agritech Limited,2021-05-18,2026-05-15,1241,46.530000,10.266344,0.624545,0.606067,-0.542818,0.848990,1.293371,0.416597,0.576096,84.320000,40.000000,-0.448174,-0.101217,-0.327504,-0.311585,-0.150912,-0.316339,0.519234,2259955.991136,30706,0.060000,,,-10.250000,,,
AGP,PHARMACEUTICALS,AGP Limited,2021-05-18,2026-05-15,1241,179.750000,0.686368,0.110443,0.374358,-0.693581,0.001184,1.031510,0.537898,0.929474,243.290000,168.530000,-0.261170,-0.054892,-0.255601,-0.047177,-0.017652,-0.149314,0.005133,333923.728445,222427,-1.450000,,,-8.770000,,,
AGSML,SUGAR & ALLIED INDUSTRIES,Abdullah Shah Ghazi Sugar Mills Limited,2021-05-18,2026-05-15,1193,10.670000,0.220824,0.040786,0.619804,-0.712657,-0.111671,0.994388,0.321718,1.284865,12.890000,5.740000,-0.172227,0.233526,0.101135,0.193512,0.707200,-0.089590,-0.064524,310069.674769,444184,0.040000,,,-44.290000,,,
